applicant_id,score
"1","8.22"
"2","0.99"
"3","3.74"
"4","2.17"
"5","7.68"
"6","2.85"
"7","6.45"
"8","4.58"
"9","2.13"
"10","9.55"
"11","1.09"
"12","5.51"
"13","2.19"
"14","0.93"
"15","3.1"
"16","8.34"
"17","5.79"
"18","8.23"
"19","4.71"
"20","6.59"
"21","3.87"
"22","9.18"
"23","4.77"
"24","9.38"
"25","1.17"
"26","3.26"
"27","8.84"
"28","7.54"
"29","4.58"
"30","1.79"
"31","3.61"
"32","7.72"
"33","2.32"
"34","8.66"
"35","8.32"
"36","3.67"
"37","7.84"
"38","0.06"
"39","2.0"
"40","9.79"
"41","1.64"
"42","5.36"
"43","7.62"
"44","4.95"
"45","7.41"
"46","9.89"
"47","4.78"
"48","0.98"
"49","5.32"
"50","5.91"
"51","1.03"
"52","4.03"
"53","8.5"
"54","6.44"
"55","1.76"
"56","9.83"
"57","6.36"
"58","1.59"
"59","0.15"
"60","0.71"
"61","4.0"
"62","1.86"
"63","3.27"
"64","4.88"
"65","1.08"
"66","9.67"
"67","1.41"
"68","6.3"
"69","1.11"
"70","2.57"
"71","4.4"
"72","1.93"
"73","8.36"
"74","2.36"
"75","7.57"
"76","4.85"
"77","2.87"
"78","7.19"
"79","7.01"
"80","8.35"
"81","3.91"
"82","8.52"
"83","9.88"
"84","5.08"
"85","2.05"
"86","2.8"
"87","4.06"
"88","4.42"
"89","2.53"
"90","9.45"
"91","4.74"
"92","6.63"
"93","2.25"
"94","9.24"
"95","2.26"
"96","3.17"
"97","9.23"
"98","5.21"
"99","5.27"
"100","4.76"
"101","8.29"
"102","1.31"
"103","7.92"
"104","6.55"
"105","3.14"
"106","8.59"
"107","1.89"
"108","9.53"
"109","2.95"
"110","3.23"
"111","8.27"
"112","7.63"
"113","3.61"
"114","8.6"
"115","7.84"
"116","9.56"
"117","9.24"
"118","6.11"
"119","5.48"
"120","1.14"
"121","2.07"
"122","4.75"
"123","3.75"
"124","3.91"
"125","0.9"
"126","3.94"
"127","8.46"
"128","9.11"
"129","1.04"
"130","7.32"
"131","5.13"
"132","5.33"
"133","9.18"
"134","1.84"
"135","7.72"
"136","9.17"
"137","9.41"
"138","4.48"
"139","0.81"
"140","5.91"
"141","9.33"
"142","0.97"
"143","0.98"
"144","8.68"
"145","3.03"
"146","4.52"
"147","4.53"
"148","5.84"
"149","1.54"
"150","9.88"
"151","6.25"
"152","0.15"
"153","1.15"
"154","9.49"
"155","1.18"
"156","9.27"
"157","9.64"
"158","3.36"
"159","6.41"
"160","4.43"
"161","6.48"
"162","4.2"
"163","2.54"
"164","7.81"
"165","4.79"
